APMC,Commodity,arrivals_in_qtl Seasonality Type,min_price Seasonality Type,max_price Seasonality Type,modal_price Seasonality Type,district_name,state_name
kolhapur-laxmipuri,split lentil,multiplicative,multiplicative,multiplicative,multiplicative,kolhapur,maharashtra
pune-pimpri,green gram,not enough data,not enough data,not enough data,not enough data,pune,maharashtra
ratanagari,cabbage,multiplicative,multiplicative,multiplicative,multiplicative,ratnagiri,maharashtra
karmala,black gram,not enough data,not enough data,multiplicative,multiplicative,solapur,maharashtra
rahata,pomegranate,multiplicative,multiplicative,multiplicative,multiplicative,ahmadnagar,maharashtra
chandvad,maize,not enough data,not enough data,not enough data,not enough data,nasik,maharashtra
rahata,flower,multiplicative,multiplicative,multiplicative,multiplicative,ahmadnagar,maharashtra
paithan,mosambi,not enough data,not enough data,not enough data,not enough data,aurangabad,maharashtra
mumbai,curry leaves,multiplicative,multiplicative,multiplicative,multiplicative,mumbai,maharashtra
nandgaon,horse gram,not enough data,not enough data,not enough data,not enough data,nasik,maharashtra
mumbai-fruit market,orange,not enough data,not enough data,multiplicative,multiplicative,mumbai,maharashtra
barshi,other pulses,multiplicative,multiplicative,multiplicative,multiplicative,solapur,maharashtra
junnar-otur,ladies finger,multiplicative,not enough data,multiplicative,multiplicative,pune,maharashtra
kolhapur,mosambi,multiplicative,multiplicative,multiplicative,multiplicative,kolhapur,maharashtra
chikhali,pigeon pea (tur),multiplicative,multiplicative,multiplicative,multiplicative,buldhana,maharashtra
mumbai,fennel,multiplicative,multiplicative,multiplicative,multiplicative,mumbai,maharashtra
khalapur(shil-phata),other cereals,multiplicative,not enough data,not enough data,not enough data,raigad,maharashtra
ramtek,onion,multiplicative,multiplicative,multiplicative,multiplicative,nagpur,maharashtra
aurangabad,papai,multiplicative,multiplicative,multiplicative,multiplicative,aurangabad,maharashtra
satara,green-peas,multiplicative,multiplicative,multiplicative,multiplicative,satara,maharashtra
sengaon,pigeon pea (tur),multiplicative,multiplicative,multiplicative,multiplicative,hingoli,maharashtra
amarawati,papnas,not enough data,not enough data,not enough data,not enough data,amaravathi,maharashtra
sillod-bharadi,black gram,multiplicative,not enough data,not enough data,not enough data,aurangabad,maharashtra
akole,gram,multiplicative,multiplicative,multiplicative,multiplicative,ahmadnagar,maharashtra
ulhasnagar,rice(paddy-hus),multiplicative,multiplicative,multiplicative,multiplicative,thane,maharashtra
mumbai,cardamom,multiplicative,multiplicative,multiplicative,multiplicative,mumbai,maharashtra
ahmedpur,tamarind,multiplicative,not enough data,not enough data,not enough data,latur,maharashtra
kamthi,papai,multiplicative,multiplicative,multiplicative,multiplicative,nagpur,maharashtra
nagpur,chavli (shenga ),multiplicative,multiplicative,multiplicative,multiplicative,nagpur,maharashtra
barshi-vairag,ground nut pods (dry),multiplicative,multiplicative,multiplicative,multiplicative,solapur,maharashtra
solapur,grapes,multiplicative,multiplicative,multiplicative,multiplicative,solapur,maharashtra
vani,cotton,multiplicative,multiplicative,not enough data,not enough data,yewatmal,maharashtra
palam,pigeon pea (tur),not enough data,not enough data,not enough data,not enough data,parbhani,maharashtra
mangrulpeer,sorgum(jawar),multiplicative,multiplicative,multiplicative,multiplicative,wasim,maharashtra
bhadrawati,soybean,not enough data,not enough data,not enough data,not enough data,chandrapur,maharashtra
kalvan,onion,multiplicative,multiplicative,multiplicative,multiplicative,nasik,maharashtra
pune,ghosali(bhaji),multiplicative,multiplicative,multiplicative,multiplicative,pune,maharashtra
armori-desaiganj,paddy-unhusked,multiplicative,multiplicative,multiplicative,multiplicative,gadchiroli,maharashtra
pune,fig,not enough data,not enough data,not enough data,not enough data,pune,maharashtra
shrirampur-belapur,black gram,not enough data,not enough data,not enough data,not enough data,ahmadnagar,maharashtra
karad,cucumber,multiplicative,multiplicative,multiplicative,multiplicative,satara,maharashtra
nashik-devlali,mango,not enough data,not enough data,not enough data,not enough data,nasik,maharashtra
parli-vaijnath,bajri,multiplicative,multiplicative,multiplicative,multiplicative,beed,maharashtra
jalgaon,spinach,multiplicative,multiplicative,multiplicative,multiplicative,jalgaon,maharashtra
newasa,sorgum(jawar),multiplicative,multiplicative,multiplicative,multiplicative,ahmadnagar,maharashtra
khed-chakan,ground nut pods (dry),not enough data,not enough data,not enough data,not enough data,pune,maharashtra
karanja,gram,multiplicative,multiplicative,multiplicative,multiplicative,wasim,maharashtra
amarawati,pigeon pea (tur),multiplicative,multiplicative,multiplicative,multiplicative,amaravathi,maharashtra
devala,black gram,multiplicative,multiplicative,multiplicative,multiplicative,nasik,maharashtra
pune-pimpri,tamarind,not enough data,not enough data,not enough data,not enough data,pune,maharashtra
lakhandur,rice(paddy-hus),multiplicative,not enough data,multiplicative,multiplicative,bhandara,maharashtra
parbhani,soybean,multiplicative,multiplicative,multiplicative,multiplicative,parbhani,maharashtra
sangli-phale bhajipalam,bor,multiplicative,not enough data,not enough data,not enough data,sangli,maharashtra
basmat,pigeon pea (tur),multiplicative,not enough data,not enough data,not enough data,hingoli,maharashtra
panvel,tomato,multiplicative,multiplicative,multiplicative,multiplicative,raigad,maharashtra
pandharkawada,ground nut pods (dry),multiplicative,multiplicative,not enough data,not enough data,yewatmal,maharashtra
sangrampur,soybean,multiplicative,multiplicative,multiplicative,multiplicative,buldhana,maharashtra
mauda,other cereals,not enough data,not enough data,not enough data,not enough data,nagpur,maharashtra
amarawati,bor,not enough data,not enough data,not enough data,not enough data,amaravathi,maharashtra
barshi,castor seed,multiplicative,multiplicative,multiplicative,multiplicative,solapur,maharashtra
rahata,ginger (fresh),multiplicative,multiplicative,multiplicative,multiplicative,ahmadnagar,maharashtra
shrigonda,onion,not enough data,multiplicative,not enough data,not enough data,ahmadnagar,maharashtra
hinganghat,gram,multiplicative,multiplicative,multiplicative,multiplicative,wardha,maharashtra
chandur rly.,soybean,multiplicative,multiplicative,multiplicative,multiplicative,amaravathi,maharashtra
latur,wheat(husked),multiplicative,multiplicative,multiplicative,multiplicative,latur,maharashtra
kalamb (os),bajri,multiplicative,multiplicative,multiplicative,multiplicative,osmanabad,maharashtra
shrirampur,pomegranate,multiplicative,multiplicative,multiplicative,multiplicative,ahmadnagar,maharashtra
nashik-devlali,coriander  ,multiplicative,not enough data,not enough data,not enough data,nasik,maharashtra
aurangabad,flower,multiplicative,multiplicative,multiplicative,multiplicative,aurangabad,maharashtra
dhadgaon,wheat(husked),not enough data,not enough data,not enough data,not enough data,nandurbar,maharashtra
newasa-ghodegaon,onion,multiplicative,multiplicative,multiplicative,multiplicative,ahmadnagar,maharashtra
mukhed,black gram,multiplicative,not enough data,not enough data,not enough data,nanded,maharashtra
shrirampur,maize(corn.),not enough data,not enough data,not enough data,not enough data,ahmadnagar,maharashtra
pachora,sorgum(jawar),multiplicative,not enough data,not enough data,not enough data,jalgaon,maharashtra
pune-manjri,kanda pat,multiplicative,multiplicative,multiplicative,multiplicative,pune,maharashtra
aurangabad,green chilli,multiplicative,multiplicative,multiplicative,multiplicative,aurangabad,maharashtra
pavani,green gram,multiplicative,not enough data,not enough data,not enough data,bhandara,maharashtra
devala,horse gram,additive,multiplicative,multiplicative,multiplicative,nasik,maharashtra
sangrampur,banana,not enough data,not enough data,not enough data,not enough data,buldhana,maharashtra
vadgaon peth,cabbage,multiplicative,multiplicative,multiplicative,multiplicative,kolhapur,maharashtra
pune,flower,multiplicative,multiplicative,multiplicative,multiplicative,pune,maharashtra
mumbai,pomegranate,multiplicative,multiplicative,multiplicative,multiplicative,mumbai,maharashtra
khed-chakan,math (bhaji),multiplicative,not enough data,not enough data,not enough data,pune,maharashtra
pune-manjri,shepu,multiplicative,multiplicative,multiplicative,multiplicative,pune,maharashtra
pusad,split gram,not enough data,not enough data,not enough data,not enough data,yewatmal,maharashtra
mumbai,spilt pigeon pea,multiplicative,multiplicative,multiplicative,multiplicative,mumbai,maharashtra
sailu,soybean,multiplicative,multiplicative,multiplicative,multiplicative,parbhani,maharashtra
kalyan,banana,multiplicative,multiplicative,multiplicative,multiplicative,thane,maharashtra
ahmednagar,tomato,multiplicative,multiplicative,multiplicative,multiplicative,ahmadnagar,maharashtra
karad,ridge gourd,multiplicative,multiplicative,multiplicative,multiplicative,satara,maharashtra
shevgaon,maize,not enough data,not enough data,not enough data,not enough data,ahmadnagar,maharashtra
gevrai,cotton,multiplicative,multiplicative,multiplicative,multiplicative,beed,maharashtra
indapur-bhigwan,bajri,multiplicative,multiplicative,multiplicative,multiplicative,pune,maharashtra
tuljapur,black gram,multiplicative,multiplicative,multiplicative,multiplicative,osmanabad,maharashtra
ahmednagar,garlic,multiplicative,multiplicative,multiplicative,multiplicative,ahmadnagar,maharashtra
umared,coriander (dry),multiplicative,multiplicative,multiplicative,multiplicative,nagpur,maharashtra
ner parasopant,ground nut pods (dry),not enough data,not enough data,not enough data,not enough data,yewatmal,maharashtra
rahata,green gram,multiplicative,multiplicative,multiplicative,multiplicative,ahmadnagar,maharashtra
kalyan,sesamum,multiplicative,multiplicative,multiplicative,multiplicative,thane,maharashtra
devala,sweet potato,not enough data,not enough data,not enough data,not enough data,nasik,maharashtra
ner parasopant,black gram,not enough data,not enough data,not enough data,not enough data,yewatmal,maharashtra
junnar,potato,multiplicative,multiplicative,multiplicative,multiplicative,pune,maharashtra
wardha,pigeon pea (tur),multiplicative,multiplicative,multiplicative,multiplicative,wardha,maharashtra
nashik,shepu,multiplicative,multiplicative,multiplicative,multiplicative,nasik,maharashtra
palus,ghevda,not enough data,not enough data,not enough data,not enough data,sangli,maharashtra
nashik-devlali,kardai,not enough data,not enough data,not enough data,not enough data,nasik,maharashtra
bhokar,turmeric,multiplicative,multiplicative,multiplicative,multiplicative,nanded,maharashtra
purna,green gram,multiplicative,not enough data,not enough data,not enough data,parbhani,maharashtra
osmanabad,lemon,multiplicative,multiplicative,multiplicative,multiplicative,osmanabad,maharashtra
pune,green-peas,multiplicative,multiplicative,multiplicative,multiplicative,pune,maharashtra
jintur-bori,sesamum,not enough data,not enough data,not enough data,not enough data,parbhani,maharashtra
kolhapur-malkapur,snake gourd,not enough data,not enough data,not enough data,not enough data,kolhapur,maharashtra
aurangabad,fig,multiplicative,multiplicative,multiplicative,multiplicative,aurangabad,maharashtra
nandgaon khandeshwar,wheat(husked),multiplicative,multiplicative,multiplicative,multiplicative,amaravathi,maharashtra
dondaicha,cotton,multiplicative,multiplicative,not enough data,not enough data,dhule,maharashtra
partur,green gram,multiplicative,not enough data,not enough data,not enough data,jalna,maharashtra
mumbai-onion and potato mkt,garlic,not enough data,not enough data,multiplicative,multiplicative,mumbai,maharashtra
buldhana,pigeon pea (tur),multiplicative,multiplicative,multiplicative,multiplicative,buldhana,maharashtra
nandgaon,onion,multiplicative,multiplicative,multiplicative,multiplicative,nasik,maharashtra
solapur,papai,multiplicative,multiplicative,multiplicative,multiplicative,solapur,maharashtra
zarijamini,green gram,not enough data,not enough data,not enough data,not enough data,yewatmal,maharashtra
mumbai,mosambi,multiplicative,multiplicative,multiplicative,multiplicative,mumbai,maharashtra
